Data,Horário,Em casa,Resultado,Visitante,Público,Local
2024-09-22,16:00,Atlético Mineiro,3–0,Red Bull Bragantino,,Arena MRV
2024-09-22,17:30 (18:30),Cuiabá,0–0,Cruzeiro,,Arena Pantanal
2024-09-22,18:30,Grêmio,3–2,Flamengo,,Arena do Grêmio
2024-09-22,18:30,São Paulo,1–3,Internacional,,Estádio do Morumbi
2024-09-22,20:00,Criciúma,0–0,Ath Paranaense,,Estádio Heriberto Hülse
2024-09-21,21:00,Fortaleza,4–1,Bahia,,Estádio Castelão
2024-09-25,19:00,Grêmio,1–2,Criciúma,,Arena do Grêmio
2024-09-25,19:00,Red Bull Bragantino,2–2,Internacional,,Estádio Nabi Abi Chedid
2024-09-28,18:30,Palmeiras,2–1,Atlético Mineiro,,Estádio Brinco de Ouro da Princesa
2024-09-29,11:00,Juventude,1–1,Red Bull Bragantino,,Estádio Alfredo Jaconi
2024-09-29,16:00,Fortaleza,1–0,Cuiabá,,Estádio Castelão
2024-09-29,16:00,Atl Goianiense,1–0,Fluminense,,Estádio Antônio Accioly
2024-09-29,16:00,São Paulo,3–1,Corinthians,,Estádio Nacional de Brasília
2024-09-29,18:30,Cruzeiro,1–1,Vasco da Gama,,Estádio Governador Magalhães Pinto
2024-09-29,18:30,Internacional,3–1,Vitória,,Estádio José Pinheiro Borba
2024-09-29,18:30,Bahia,1–0,Criciúma,,Itaipava Arena Fonte Nova
2024-09-29,20:00,Flamengo,1–0,Ath Paranaense,,Estadio Jornalista Mário Filho
2024-09-28,21:00,Botafogo (RJ),0–0,Grêmio,,Estádio Nacional de Brasília
2024-10-03,19:00,Criciúma,2–0,Atl Goianiense,,Estádio Heriberto Hülse
2024-10-03,21:30,Fluminense,1–0,Cruzeiro,,Estadio Jornalista Mário Filho
2024-10-05,16:30,Red Bull Bragantino,0–0,Palmeiras,,Estádio Nabi Abi Chedid
2024-10-05,16:30,Ath Paranaense,0–1,Botafogo (RJ),,Ligga Arena
2024-10-05,16:30,Atlético Mineiro,2–2,Vitória,,Arena MRV
2024-10-05,18:00 (19:00),Cuiabá,2–0,São Paulo,,Arena Pantanal
2024-10-05,19:00,Corinthians,2–2,Internacional,,Neo Química Arena
2024-10-05,19:00,Bahia,0–2,Flamengo,,Itaipava Arena Fonte Nova
2024-10-04,21:30,Grêmio,3–1,Fortaleza,,Arena do Grêmio
